sensor_id,sensor_name,lat,lon,timestamp,p1,p2
18243,SDS011,55.674,13.072,2018-12-31 12:25:36,14.53,5.19
13428,SDS011,57.708,11.962,2018-12-31 12:25:41,67.98,14.72
11763,SDS011,56.522,14.95,2018-12-31 12:25:50,11.04,4.43
10250,SDS011,58.692,12.478,2018-12-31 12:25:55,12.42,4.89
16446,SDS011,55.66,12.592,2018-12-31 12:26:04,2.06,1.62
12124,SDS011,57.908,16.49,2018-12-31 12:26:11,0.1,0.1
14975,SDS011,60.468,25.126,2018-12-31 12:26:21,1.96,1.46
14813,SDS011,57.914,12.06,2018-12-31 12:26:38,37.25,9.45
13483,SDS011,57.786,12.08,2018-12-31 12:26:51,654.3,36.9
11661,SDS011,59.446,14.888,2018-12-31 12:26:56,2.72,1.27
14294,SDS011,59.37,18.016,2018-12-31 12:27:06,3.83,1.85
11232,SDS011,55.596,13.022,2018-12-31 12:27:12,14.62,5.62
11374,SDS011,59.258,18.008,2018-12-31 12:27:20,1.78,1.38
10825,SDS011,55.898,14.094,2018-12-31 12:27:25,10.78,8.5
13477,SDS011,62.382,17.344,2018-12-31 12:27:31,0.38,0.2
17650,SDS011,59.304,18.102,2018-12-31 12:27:44,1.9,1.75
16535,SDS011,55.718,13.218,2018-12-31 12:27:53,18.58,6.78
17038,SDS011,55.75,13.202,2018-12-31 12:28:02,22.52,8.32
11380,SDS011,55.606,12.998,2018-12-31 12:28:08,8.18,2.88
11763,SDS011,56.522,14.95,2018-12-31 12:28:17,12.26,4.7
12391,SDS011,59.86,17.64,2018-12-31 12:28:22,3.45,1.32
10843,SDS011,59.354,18.364,2018-12-31 12:28:29,4.55,1.28
14276,SDS011,57.346,12.15,2018-12-31 12:28:38,439.52,54.32
14975,SDS011,60.468,25.126,2018-12-31 12:28:47,2.03,1.57
12137,SDS011,59.334,18.032,2018-12-31 12:29:00,4.84,2.37
9411,SDS011,59.266,15.23,2018-12-31 12:29:17,5.0,2.3
12861,SDS011,66.348,14.134,2018-12-31 12:29:22,1.7,0.78
15071,SDS011,56.696,13.002,2018-12-31 12:29:31,2.95,2.34
10823,SDS011,59.332,18.034,2018-12-31 12:29:38,3.9,2.12
14278,SDS011,59.374,18.01,2018-12-31 12:29:44,3.76,1.92
17020,SDS011,55.728,13.194,2018-12-31 12:29:52,14.8,5.25
17927,SDS011,58.396,15.544,2018-12-31 12:29:59,1.82,0.76
13443,SDS011,59.218,18.218,2018-12-31 12:30:13,1.34,1.06
8683,SDS011,59.744,18.206,2018-12-31 12:30:20,3.54,3.24
17038,SDS011,55.75,13.202,2018-12-31 12:30:30,20.72,7.14
10719,SDS011,58.386,15.56,2018-12-31 12:30:36,2.04,1.1
14803,SDS011,57.676,11.994,2018-12-31 12:30:43,38.65,7.85
12391,SDS011,59.86,17.64,2018-12-31 12:30:50,1.06,0.92
9797,SDS011,57.492,12.652,2018-12-31 12:30:56,14.07,7.4
10281,SDS011,59.472,18.048,2018-12-31 12:31:06,4.94,2.57
18826,SDS011,63.404,13.016,2018-12-31 12:31:12,1.16,0.18
12387,SDS011,58.56,15.306,2018-12-31 12:31:29,2.25,1.3
10430,SDS011,59.958,17.726,2018-12-31 12:31:41,1.7,1.13
12861,SDS011,66.348,14.134,2018-12-31 12:31:50,1.31,0.7
15071,SDS011,56.696,13.002,2018-12-31 12:32:00,3.13,2.3
11550,SDS011,59.27,18.078,2018-12-31 12:32:43,1.57,0.84
17532,SDS011,59.32,13.484,2018-12-31 12:32:54,21.45,7.32
17038,SDS011,55.75,13.202,2018-12-31 12:33:01,17.7,6.25
10719,SDS011,58.386,15.56,2018-12-31 12:33:06,1.98,1.16
16705,SDS011,60.136,15.18,2018-12-31 12:33:14,0.62,0.5
16296,SDS011,56.144,13.394,2018-12-31 12:33:20,17.6,9.48
7275,SDS011,57.72,11.888,2018-12-31 12:33:28,272.86,19.25
17538,SDS011,55.612,12.972,2018-12-31 12:33:37,14.46,3.14
17536,SDS011,59.288,17.964,2018-12-31 12:33:50,2.85,1.3
12679,SDS011,59.384,17.874,2018-12-31 12:34:03,0.4,0.4
18243,SDS011,55.674,13.072,2018-12-31 12:34:12,10.35,3.99
10721,SDS011,59.45,18.124,2018-12-31 12:34:21,2.46,1.2
11767,SDS011,57.652,12.514,2018-12-31 12:34:31,4.22,2.62
14278,SDS011,59.374,18.01,2018-12-31 12:34:37,3.72,1.9
14282,SDS011,59.282,18.344,2018-12-31 12:34:43,2.8,0.66
14133,SDS011,59.364,18.018,2018-12-31 12:34:50,4.99,2.96
14797,SDS011,63.708,20.368,2018-12-31 12:34:57,4.97,1.2
11378,SDS011,59.392,16.748,2018-12-31 12:35:38,5.2,1.34
11004,SDS011,59.622,16.556,2018-12-31 12:35:45,8.13,4.36
13762,SDS011,60.45,23.238,2018-12-31 12:35:50,5.72,4.56
